scope_id,category,official_item,official_source,chapter,coverage_kind,content_id,verification_date,status
S-HM-000,初赛-科目与组别,第十八届非数学专业类初赛考试内容为高等数学；非数学专业A类为理工类,SRC-CMS-18-PDF,第1章,reference,R01-SCOPE,2026-07-17,verified
S-HM-101,初赛-高等数学/函数、极限、连续,函数的概念及表示法、简单应用问题中函数关系的建立,SRC-CMS-18-PDF;SRC-GUIDE-2022,第2章,reference,R02-FUNCTION-LIMITS,2026-07-17,verified
S-HM-102,初赛-高等数学/函数、极限、连续,函数的有界性、单调性、周期性和奇偶性,SRC-CMS-18-PDF;SRC-GUIDE-2022,第2章,reference,R02-FUNCTION-LIMITS,2026-07-17,verified
S-HM-103,初赛-高等数学/函数、极限、连续,复合函数、反函数、分段函数和隐函数；基本初等函数的性质、图形与初等函数,SRC-CMS-18-PDF;SRC-GUIDE-2022,第2章,reference,R02-FUNCTION-LIMITS,2026-07-17,verified
S-HM-104,初赛-高等数学/函数、极限、连续,数列极限与函数极限的定义及性质；函数的左极限与右极限,SRC-CMS-18-PDF;SRC-GUIDE-2022,第2章,reference,R02-FUNCTION-LIMITS,2026-07-17,verified
S-HM-105,初赛-高等数学/函数、极限、连续,无穷小与无穷大的概念及关系；无穷小的性质与比较,SRC-CMS-18-PDF;SRC-GUIDE-2022,第2章,reference,R02-FUNCTION-LIMITS,2026-07-17,verified
S-HM-106,初赛-高等数学/函数、极限、连续,极限四则运算；单调有界准则、夹逼准则与两个重要极限,SRC-CMS-18-PDF;SRC-GUIDE-2022,第2章,reference,R02-FUNCTION-LIMITS,2026-07-17,verified
S-HM-107,初赛-高等数学/函数、极限、连续,函数连续性（含左连续与右连续）及间断点类型,SRC-CMS-18-PDF;SRC-GUIDE-2022,第2章,reference,R02-FUNCTION-LIMITS,2026-07-17,verified
S-HM-108,初赛-高等数学/函数、极限、连续,连续函数的性质与初等函数的连续性,SRC-CMS-18-PDF;SRC-GUIDE-2022,第2章,reference,R02-FUNCTION-LIMITS,2026-07-17,verified
S-HM-109,初赛-高等数学/函数、极限、连续,闭区间上连续函数的有界性、最值定理与介值定理,SRC-CMS-18-PDF;SRC-GUIDE-2022,第2章,reference,R02-FUNCTION-LIMITS,2026-07-17,verified
S-HM-201,初赛-高等数学/一元函数微分学,导数与微分的概念、几何意义和物理意义；可导与连续的关系；平面曲线的切线与法线,SRC-CMS-18-PDF;SRC-GUIDE-2022,第3章,reference,R03-DIFFERENTIAL,2026-07-17,verified
S-HM-202,初赛-高等数学/一元函数微分学,基本初等函数的导数；导数和微分的四则运算；一阶微分形式不变性,SRC-CMS-18-PDF;SRC-GUIDE-2022,第3章,reference,R03-DIFFERENTIAL,2026-07-17,verified
S-HM-203,初赛-高等数学/一元函数微分学,复合函数、反函数、隐函数及参数方程所确定函数的微分法,SRC-CMS-18-PDF;SRC-GUIDE-2022,第3章,reference,R03-DIFFERENTIAL,2026-07-17,verified
S-HM-204,初赛-高等数学/一元函数微分学,高阶导数；分段函数的二阶导数；简单函数的n阶导数,SRC-CMS-18-PDF;SRC-GUIDE-2022,第3章,reference,R03-DIFFERENTIAL,2026-07-17,verified
S-HM-205,初赛-高等数学/一元函数微分学,Rolle、Lagrange、Cauchy中值定理与Taylor定理,SRC-CMS-18-PDF;SRC-GUIDE-2022,第3章,reference,R03-DIFFERENTIAL,2026-07-17,verified
S-HM-206,初赛-高等数学/一元函数微分学,L'Hospital法则与未定式极限,SRC-CMS-18-PDF;SRC-GUIDE-2022,第3章,reference,R03-DIFFERENTIAL,2026-07-17,verified
S-HM-207,初赛-高等数学/一元函数微分学,函数极值与单调性；凹凸性、拐点、渐近线及函数图形描绘,SRC-CMS-18-PDF;SRC-GUIDE-2022,第3章,reference,R03-DIFFERENTIAL,2026-07-17,verified
S-HM-208,初赛-高等数学/一元函数微分学,函数最大值、最小值及简单应用,SRC-CMS-18-PDF;SRC-GUIDE-2022,第3章,reference,R03-DIFFERENTIAL,2026-07-17,verified
S-HM-209,初赛-高等数学/一元函数微分学,弧微分、曲率与曲率半径,SRC-CMS-18-PDF;SRC-GUIDE-2022,第3章,reference,R03-DIFFERENTIAL,2026-07-17,verified
S-HM-301,初赛-高等数学/一元函数积分学,原函数与不定积分的概念,SRC-CMS-18-PDF;SRC-GUIDE-2022,第4章,reference,R04-INTEGRAL,2026-07-17,verified
S-HM-302,初赛-高等数学/一元函数积分学,不定积分的基本性质与基本积分公式,SRC-CMS-18-PDF;SRC-GUIDE-2022,第4章,reference,R04-INTEGRAL,2026-07-17,verified
S-HM-303,初赛-高等数学/一元函数积分学,定积分的概念与性质；定积分中值定理；变上限积分及其导数；Newton-Leibniz公式,SRC-CMS-18-PDF;SRC-GUIDE-2022,第4章,reference,R04-INTEGRAL,2026-07-17,verified
S-HM-304,初赛-高等数学/一元函数积分学,不定积分与定积分的换元积分法和分部积分法,SRC-CMS-18-PDF;SRC-GUIDE-2022,第4章,reference,R04-INTEGRAL,2026-07-17,verified
S-HM-305,初赛-高等数学/一元函数积分学,有理函数、三角函数有理式和简单无理函数的积分,SRC-CMS-18-PDF;SRC-GUIDE-2022,第4章,reference,R04-INTEGRAL,2026-07-17,verified
S-HM-306,初赛-高等数学/一元函数积分学,广义积分,SRC-CMS-18-PDF;SRC-GUIDE-2022,第4章,reference,R04-INTEGRAL,2026-07-17,verified
S-HM-307,初赛-高等数学/一元函数积分学,定积分应用：面积、弧长、旋转体体积与侧面积、截面体积、功、引力、压力及函数平均值,SRC-CMS-18-PDF;SRC-GUIDE-2022,第4章,reference,R04-INTEGRAL,2026-07-17,verified
S-HM-401,初赛-高等数学/常微分方程,微分方程及其解、阶、通解、初始条件与特解,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-ODE,2026-07-17,verified
S-HM-402,初赛-高等数学/常微分方程,可分离变量、齐次、一阶线性、Bernoulli与全微分方程,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-ODE,2026-07-17,verified
S-HM-403,初赛-高等数学/常微分方程,简单变量代换与可降阶高阶微分方程,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-ODE,2026-07-17,verified
S-HM-404,初赛-高等数学/常微分方程,线性微分方程解的性质与结构定理,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-ODE,2026-07-17,verified
S-HM-405,初赛-高等数学/常微分方程,二阶及某些高阶常系数齐次线性微分方程,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-ODE,2026-07-17,verified
S-HM-406,初赛-高等数学/常微分方程,简单二阶常系数非齐次线性微分方程,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-ODE,2026-07-17,verified
S-HM-407,初赛-高等数学/常微分方程,Euler方程,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-ODE,2026-07-17,verified
S-HM-408,初赛-高等数学/常微分方程,微分方程的简单应用,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-ODE,2026-07-17,verified
S-HM-501,初赛-高等数学/向量代数与空间解析几何,向量概念与线性运算；数量积、向量积与混合积,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-GEOMETRY,2026-07-17,verified
S-HM-502,初赛-高等数学/向量代数与空间解析几何,向量垂直、平行条件与夹角,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-GEOMETRY,2026-07-17,verified
S-HM-503,初赛-高等数学/向量代数与空间解析几何,向量坐标表达及运算；单位向量、方向数与方向余弦,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-GEOMETRY,2026-07-17,verified
S-HM-504,初赛-高等数学/向量代数与空间解析几何,曲面与空间曲线方程；平面方程与直线方程,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-GEOMETRY,2026-07-17,verified
S-HM-505,初赛-高等数学/向量代数与空间解析几何,平面、直线间的位置与夹角；点到平面和点到直线的距离,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-GEOMETRY,2026-07-17,verified
S-HM-506,初赛-高等数学/向量代数与空间解析几何,球面、柱面、旋转曲面及常用二次曲面的方程与图形,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-GEOMETRY,2026-07-17,verified
S-HM-507,初赛-高等数学/向量代数与空间解析几何,空间曲线的参数方程、一般方程与在坐标面上的投影曲线,SRC-CMS-18-PDF;SRC-GUIDE-2022,第5章,reference,R05-GEOMETRY,2026-07-17,verified
S-HM-601,初赛-高等数学/多元函数微分学,多元函数的概念与二元函数的几何意义,SRC-CMS-18-PDF;SRC-GUIDE-2022,第6章,reference,R06-MULTIVARIABLE-DIFF,2026-07-17,verified
S-HM-602,初赛-高等数学/多元函数微分学,二元函数极限与连续；有界闭区域上多元连续函数的性质,SRC-CMS-18-PDF;SRC-GUIDE-2022,第6章,reference,R06-MULTIVARIABLE-DIFF,2026-07-17,verified
S-HM-603,初赛-高等数学/多元函数微分学,偏导数与全微分；全微分存在的必要条件和充分条件,SRC-CMS-18-PDF;SRC-GUIDE-2022,第6章,reference,R06-MULTIVARIABLE-DIFF,2026-07-17,verified
S-HM-604,初赛-高等数学/多元函数微分学,多元复合函数与隐函数求导,SRC-CMS-18-PDF;SRC-GUIDE-2022,第6章,reference,R06-MULTIVARIABLE-DIFF,2026-07-17,verified
S-HM-605,初赛-高等数学/多元函数微分学,二阶偏导数、方向导数与梯度,SRC-CMS-18-PDF;SRC-GUIDE-2022,第6章,reference,R06-MULTIVARIABLE-DIFF,2026-07-17,verified
S-HM-606,初赛-高等数学/多元函数微分学,空间曲线切线与法平面；曲面切平面与法线,SRC-CMS-18-PDF;SRC-GUIDE-2022,第6章,reference,R06-MULTIVARIABLE-DIFF,2026-07-17,verified
S-HM-607,初赛-高等数学/多元函数微分学,二元函数的二阶Taylor公式,SRC-CMS-18-PDF;SRC-GUIDE-2022,第6章,reference,R06-MULTIVARIABLE-DIFF,2026-07-17,verified
S-HM-608,初赛-高等数学/多元函数微分学,多元函数极值、条件极值、Lagrange乘数法及最值应用,SRC-CMS-18-PDF;SRC-GUIDE-2022,第6章,reference,R06-MULTIVARIABLE-DIFF,2026-07-17,verified
S-HM-701,初赛-高等数学/多元函数积分学,二重与三重积分的概念、性质及直角、极、柱、球坐标计算,SRC-CMS-18-PDF;SRC-GUIDE-2022,第7章,reference,R07-MULTIVARIABLE-INTEGRAL,2026-07-17,verified
S-HM-702,初赛-高等数学/多元函数积分学,两类曲线积分的概念、性质、计算及其关系,SRC-CMS-18-PDF;SRC-GUIDE-2022,第7章,reference,R07-MULTIVARIABLE-INTEGRAL,2026-07-17,verified
S-HM-703,初赛-高等数学/多元函数积分学,Green公式；平面曲线积分与路径无关；全微分求原函数,SRC-CMS-18-PDF;SRC-GUIDE-2022,第7章,reference,R07-MULTIVARIABLE-INTEGRAL,2026-07-17,verified
S-HM-704,初赛-高等数学/多元函数积分学,两类曲面积分的概念、性质、计算及其关系,SRC-CMS-18-PDF;SRC-GUIDE-2022,第7章,reference,R07-MULTIVARIABLE-INTEGRAL,2026-07-17,verified
S-HM-705,初赛-高等数学/多元函数积分学,Gauss公式、Stokes公式、散度与旋度,SRC-CMS-18-PDF;SRC-GUIDE-2022,第7章,reference,R07-MULTIVARIABLE-INTEGRAL,2026-07-17,verified
S-HM-706,初赛-高等数学/多元函数积分学,重积分、曲线积分和曲面积分在面积、体积、弧长、质量、质心、转动惯量、引力、功及流量中的应用,SRC-CMS-18-PDF;SRC-GUIDE-2022,第7章,reference,R07-MULTIVARIABLE-INTEGRAL,2026-07-17,verified
S-HM-801,初赛-高等数学/无穷级数,常数项级数的敛散性、收敛级数的和、基本性质与收敛必要条件,SRC-CMS-18-PDF;SRC-GUIDE-2022,第8章,reference,R08-SERIES,2026-07-17,verified
S-HM-802,初赛-高等数学/无穷级数,几何级数、p级数、正项级数判别与交错级数Leibniz判别,SRC-CMS-18-PDF;SRC-GUIDE-2022,第8章,reference,R08-SERIES,2026-07-17,verified
S-HM-803,初赛-高等数学/无穷级数,任意项级数的绝对收敛与条件收敛,SRC-CMS-18-PDF;SRC-GUIDE-2022,第8章,reference,R08-SERIES,2026-07-17,verified
S-HM-804,初赛-高等数学/无穷级数,函数项级数的收敛域与和函数,SRC-CMS-18-PDF;SRC-GUIDE-2022,第8章,reference,R08-SERIES,2026-07-17,verified
S-HM-805,初赛-高等数学/无穷级数,幂级数的收敛半径、收敛区间、收敛域与和函数,SRC-CMS-18-PDF;SRC-GUIDE-2022,第8章,reference,R08-SERIES,2026-07-17,verified
S-HM-806,初赛-高等数学/无穷级数,幂级数和函数的连续性、逐项求导与逐项积分；简单幂级数求和,SRC-CMS-18-PDF;SRC-GUIDE-2022,第8章,reference,R08-SERIES,2026-07-17,verified
S-HM-807,初赛-高等数学/无穷级数,初等函数的幂级数展开,SRC-CMS-18-PDF;SRC-GUIDE-2022,第8章,reference,R08-SERIES,2026-07-17,verified
S-HM-808,初赛-高等数学/无穷级数,Fourier系数与级数、Dirichlet定理、全区间与半区间正弦/余弦展开,SRC-CMS-18-PDF;SRC-GUIDE-2022,第8章,reference,R08-SERIES,2026-07-17,verified
S-HM-GAP-001,初赛-高等数学/逐项边界,第十八届非数学A类逐项高等数学大纲尚未在当前官方通知中单列,SRC-CMS-18-PDF,,reference,,2026-07-17,gap
S-LA-000,决赛范围边界,第十八届非数学专业类线性代数仅属于决赛内容，初赛不考,SRC-CMS-18-PDF,第1章范围说明,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-101,决赛加考-线性代数/行列式,行列式概念与基本性质,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-102,决赛加考-线性代数/行列式,按行（列）展开定理,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-103,决赛加考-线性代数/行列式,Vandermonde行列式与行列式乘法规则,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-201,决赛加考-线性代数/矩阵,矩阵及特殊矩阵的概念与性质,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-202,决赛加考-线性代数/矩阵,矩阵线性运算、乘法、转置、方阵乘方与乘积行列式,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-203,决赛加考-线性代数/矩阵,逆矩阵、可逆条件与伴随矩阵,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-204,决赛加考-线性代数/矩阵,初等变换、初等矩阵、等价、秩及求逆,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-205,决赛加考-线性代数/矩阵,分块矩阵及其运算,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-301,决赛加考-线性代数/向量,n维向量、线性组合与线性表示,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-302,决赛加考-线性代数/向量,向量组线性相关、线性无关及判别,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-303,决赛加考-线性代数/向量,极大线性无关组与向量组的秩,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-304,决赛加考-线性代数/向量,向量组等价与矩阵行列向量组的秩,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
S-LA-305,决赛加考-线性代数/向量,n维向量空间、子空间、基、维数与坐标,SRC-CMS-18-PDF;SRC-GUIDE-2022,初赛正文不纳入,reference,R01-SCOPE-LA,2026-07-17,verified
